Page,Edits,Editors,Views,Mobile %
"Anne, Queen of Great Britain",?,?,6859693,76.36
"Godzilla: King of the Monsters (2019 film)",?,?,6845627,66.3
"Miley Cyrus",?,?,6799918,77.17
"Tom Cruise",?,?,6774872,79.37
"Aaliyah",?,?,6763620,81.77
"Nancy Pelosi",?,?,6763237,72.11
"Mindhunter (TV series)",?,?,6759084,69.93
"Ryan Reynolds",?,?,6693312,80.64
"Mötley Crüe",?,?,6685680,79.61
"You (TV series)",?,?,6672672,72.01
"List of Queen of the South episodes",?,?,6671930,3.12
"Sylvester Stallone",?,?,6647213,83.31
"Chris Evans (actor)",?,?,6626294,79.15
"Canada",?,?,6591163,56.84
"Michael Jordan",?,?,6570144,73.23
"Spider-Man: Into the Spider-Verse",?,?,6566319,65.61
"Sex",?,?,6541569,92.26
"Andrew Cunanan",?,?,6522317,86.54
"The Boys (2019 TV series)",?,?,6520257,63.71
"Winston Churchill",?,?,6512320,72.34
"Pablo Escobar",?,?,6508086,81.24
"Midsommar (film)",?,?,6487437,71.59
"Terminator: Dark Fate",?,?,6477754,62.55
"Elvis Presley",?,?,6462220,72.68
"Brad Pitt",?,?,6436590,79.13
"Fred Rogers",?,?,6415089,79.53
"Google Chrome",?,?,6363564,13.19
"6ix9ine",?,?,6360872,79.52
"Tiger Woods",?,?,6325878,79.46
"List of highest-grossing Indian films",?,?,6324143,83.67
"Australia",?,?,6318244,57.04
"Edward VIII",?,?,6315568,79.14
"Riverdale (2017 TV series)",?,?,6260929,61.36
"Solar System",?,?,6234263,28.9
"Virat Kohli",?,?,6220934,87.68
"Novak Djokovic",?,?,6211503,77.23
"War (2019 film)",?,?,6210732,84.25
"Hong Kong",?,?,6148440,60.36
"Singapore",?,?,6142983,58.48
"Star Wars",?,?,6138703,63.26
"Green Book (film)",?,?,6133941,63.6
"WrestleMania 35",?,?,6130953,72.25
"Frank Sheeran",?,?,6106645,80.07
"Hobbs & Shaw",?,?,6076669,75.43
"New York City",?,?,6071439,59.32
"2020 Democratic Party presidential primaries",?,?,6036744,51.72
"Lucifer (TV series)",?,?,6017605,66.8
"Dennis Rader",?,?,6006026,82.79
"Quentin Tarantino",?,?,5996592,68.88
"Thanos",?,?,5990894,72.27
"Mia Khalifa",?,?,5985479,86.16
"Angelina Jolie",?,?,5966175,79.76
"Elizabeth Holmes",?,?,5965698,70.68
"Chris Pratt",?,?,5960879,79.68
"Will Smith",?,?,5947554,78.65
"Albert Einstein",?,?,5920958,67.26
"Maisie Williams",?,?,5914478,79.54
"Dolly Parton",?,?,5879330,82.12
"Steve Jobs",?,?,5853804,68.97
"Charlize Theron",?,?,5833237,77.62
"Stranger Things (season 3)",?,?,5828284,73.19
"John F. Kennedy",?,?,5814614,68.93
"Stephen Curry",?,?,5805634,77.68
"K.G.F: Chapter 1",?,?,5805069,84.71
"Line shaft",?,?,5781790,0.19
"Kate Beckinsale",?,?,5767553,79.9
"Shawn Mendes",?,?,5749352,76.18
"Meghan, Duchess of Sussex",?,?,5725875,80.05
"Eminem",?,?,5718562,71.7
"Kepler's Supernova",?,?,5710728,32.3
"Stephen Hawking",?,?,5707545,75.64
"Halsey (singer)",?,?,5696833,75.75
"List of Super Bowl champions",?,?,5690883,74.9
"123Movies",?,?,5690006,58.85
"Juice Wrld",?,?,5677533,81.44
"Beyoncé",?,?,5669048,76.12
"Henry V of England",?,?,5651214,77.21
"Brexit",?,?,5636186,61.21
"Jeffrey Dahmer",?,?,5632775,80.8
"Liam Hemsworth",?,?,5631816,85.15
"Watchmen (TV series)",?,?,5610570,62.05
"Abraham Lincoln",?,?,5589043,65.98
"UEFA Champions League",?,?,5579932,65.18
"Muhammad Ali",?,?,5569354,73.16
"Madonna (entertainer)",?,?,5557592,75.65
"Robin Williams",?,?,5540483,75.48
"Justin Bieber",?,?,5539679,79.31
"Bruce Lee",?,?,5525960,76
"Blake Lively",?,?,5514807,83.26
"List of United States cities by population",?,?,5503008,67.93
"Johnny Depp",?,?,5497647,78.47
"Seven deadly sins",?,?,5487249,69.55
"Robert De Niro",?,?,5483522,77.35
"Bill Gates",?,?,5474314,66.66
"Lizzo",?,?,5459306,75.69
"Henry VIII of England",?,?,5457520,75.29
"Japan",?,?,5429180,55.21
"Tupac Shakur",?,?,5427466,76.68
"Manchester United F.C.",?,?,5427103,69.14
"Marilyn Monroe",?,?,5425650,77.87
"Russia",?,?,5418524,55.9
"Patrick Swayze",?,?,5415222,85.37
"George V",?,?,5407654,77.17
"Brooklyn",?,?,5382811,39.79
"Hailey Baldwin",?,?,5377587,83.09
"Liverpool F.C.",?,?,5371143,64.99
"Joe Biden",?,?,5371080,69.18
"Impeachment in the United States",?,?,5363961,74.11
"Tyson Fury",?,?,5358956,75.45
"Martin Luther King Jr.",?,?,5348845,61.1
"Germany",?,?,5333863,50.95
"Bird Box (film)",?,?,5332753,72.57
"Coca-Cola",?,?,5329958,50.17
"91st Academy Awards",?,?,5321905,55.39
"Joe Jonas",?,?,5311728,80.98
"Jussie Smollett",?,?,5306204,72.81
"Mila Kunis",?,?,5305240,83.29
"Pakistan",?,?,5303629,68.04
"Travis Scott",?,?,5291134,79.98
"Chandrayaan-2",?,?,5290467,82.03
"Winona Ryder",?,?,5288768,80.44
"21 Savage",?,?,5282826,79.26
"Brightburn",?,?,5278741,70.06
"The Big Bang Theory",?,?,5235651,61.52
"2020 United States presidential election",?,?,5232241,54.42
"Apple Network Server",?,?,5219506,36.61
"Tom Hardy",?,?,5214225,79.69
"Elizabeth I of England",?,?,5195730,73.51
"Margot Robbie",?,?,5193619,75.55
"Netflix",?,?,5192333,48
"Idris Elba",?,?,5176768,81.45
"When They See Us",?,?,5163814,80.04
"Kristen Bell",?,?,5135764,79.74
"A Song of Ice and Fire",?,?,5130451,63.89
"Anthony Joshua",?,?,5129591,72.33
"Israel",?,?,5129181,61.7
"Zoë Kravitz",?,?,5124924,85.41
"New Zealand",?,?,5107285,62.83
"Killing Eve",?,?,5095925,67.42
"Generation Z",?,?,5092675,63.44
"Nicole Kidman",?,?,5088834,80.54
"2019 FIFA Women's World Cup",?,?,5085597,56.68
"Vietnam War",?,?,5083550,63.11
"Camila Cabello",?,?,5076354,74.77
"Grover",?,?,5072500,1.39
"Mike Tyson",?,?,5067420,71.58
"Elizabeth Warren",?,?,5067324,66.85
"Dick Cheney",?,?,5066935,75.81
"List of Presidents of the United States",?,?,5064534,69.21
"River Phoenix",?,?,5061219,80.7
"Amber Heard",?,?,5048052,79.78
"The Beatles",?,?,5035034,59.9
"Big Little Lies (TV series)",?,?,5033157,72.48
"Tom Hanks",?,?,5031803,77.52
"Disappearance of Madeleine McCann",?,?,5021801,80.72
"List of UFC events",?,?,5015127,55.46
"Beto O'Rourke",?,?,5007995,71.17
"Titans (2018 TV series)",?,?,4995265,63.16
"NATO phonetic alphabet",?,?,4993967,50.51
"Nikki Sixx",?,?,4992686,84.44
"Tommy Lee",?,?,4983599,84.09
"Money Heist",?,?,4980774,71.3
"The Umbrella Academy",?,?,4975421,67.53
"Jake Gyllenhaal",?,?,4973767,77.95
"Macaulay Culkin",?,?,4963037,81.92
"William Shakespeare",?,?,4953135,64.28
"Kanye West",?,?,4931336,69.3
"Impeachment of Bill Clinton",?,?,4923783,73.91
"Sri Lanka",?,?,4923642,69.26
"Edward VII",?,?,4920504,78.7
"Giannis Antetokounmpo",?,?,4918634,76.71
"Cher",?,?,4909045,79.43
"Megan Rapinoe",?,?,4906823,76.79
"Gianni Versace",?,?,4901138,84.26
"Prince Andrew, Duke of York",?,?,4875602,75.45
"Zodiac",?,?,4861704,83.85
"John Lennon",?,?,4844429,70.37
"Shaquille O'Neal",?,?,4843304,75.1
"Darth Vader",?,?,4834630,23.48
"Lil Nas X",?,?,4831020,73.49
"Manson Family",?,?,4828416,77.5
"Emily Blunt",?,?,4807542,78.81
"O. J. Simpson",?,?,4799773,77.65
"2018 FIFA World Cup",?,?,4791773,44.92
"List of awards and nominations received by Meryl Streep",?,?,4791085,4.89
"Sex Education (TV series)",?,?,4782213,70.98
"Avicii",?,?,4780224,74.69
"Eurovision Song Contest 2019",?,?,4769465,54.49
"Soviet Union",?,?,4764261,61.31
"Zac Efron",?,?,4763752,82.67
"Natalie Portman",?,?,4759974,76.21
"Patrick Mahomes",?,?,4759068,83.23
"Drake (musician)",?,?,4756187,73.41
"Selena Gomez",?,?,4751881,78.35
"Sandra Bullock",?,?,4744455,81.56
"Edmund Kemper",?,?,4743545,81.34
"Mahershala Ali",?,?,4743133,75.57
"Gordon Ramsay",?,?,4726300,77.84
"Anne, Princess Royal",?,?,4726203,80.21
"Steve Irwin",?,?,4725170,65.56
"UEFA Euro 2020",?,?,4711811,66.28
"Diana, Princess of Wales",?,?,4703663,76.43
"David Bowie",?,?,4703400,66.46
"Pornhub",?,?,4701603,78.21
"Premier League",?,?,4675099,61.2
"Roman Polanski",?,?,4646556,74.82
"Jennifer Syme",?,?,4645405,80.83
"Celine Dion",?,?,4645040,77.48
"Serena Williams",?,?,4644341,78.75
"Adam Sandler",?,?,4642350,79.27
"Antonio Brown",?,?,4632227,80.4
"Timothée Chalamet",?,?,4622678,75.08
"Apollo 11",?,?,4622485,64.55
"Eddie Murphy",?,?,4621271,78.86
"MS Dhoni",?,?,4615896,86.98
"Death Stranding",?,?,4609161,59.55
"Rihanna",?,?,4608310,74.27
"Joaquín ""El Chapo"" Guzmán",?,?,4608275,77.82
"Kit Harington",?,?,4606390,78.41
"Global warming",?,?,4569414,66.49
"Wayne Williams",?,?,4567534,84.43
"List of Knowing Bros episodes",?,?,4567268,52.23
"Avatar (2009 film)",?,?,4564153,67.81
"Knives Out (film)",?,?,4560139,70.74
"List of Black Mirror episodes",?,?,4546129,66.73
"Mysterio",?,?,4543510,72.02
"Brooklyn Nine-Nine",?,?,4540440,60.91
"Irina Shayk",?,?,4538304,83.18
"Donald Glover",?,?,4536031,74.84
"Mark Wahlberg",?,?,4535168,81.69
"Joseph Stalin",?,?,4534650,64.86
"Brian May",?,?,4530979,77.68
"Jennifer Lawrence",?,?,4530940,73.89
"Lauren London",?,?,4528512,87.93
"Phoebe Waller-Bridge",?,?,4525042,70.84
"France",?,?,4521660,53.23
"Cricket World Cup",?,?,4518025,78.31
"It (2017 film)",?,?,4513488,69.33
"Uri: The Surgical Strike",?,?,4513170,81.13
"The Favourite",?,?,4512037,68.48
"Harry Potter",?,?,4504986,69.29
"Roma (2018 film)",?,?,4498838,67.48
"Bella Thorne",?,?,4496711,78.06
"Ad Astra (film)",?,?,4494428,59.38
"Richard Madden",?,?,4493852,80.16
"Johnny Cash",?,?,4493342,74.35
"Bernie Sanders",?,?,4482978,65.11
"2019–20 UEFA Champions League",?,?,4482170,51.24
"Jane Fonda",?,?,4479868,81.97
"X-Men (film series)",?,?,4478573,63.6
"Black Mirror",?,?,4475828,61.21
"Betty White",?,?,4471568,84.54
"Philippines",?,?,4469178,60.19
"Vince Neil",?,?,4461724,85.09
"Ashton Kutcher",?,?,4458987,81.83
"Matthew McConaughey",?,?,4451521,81.17
"Reese Witherspoon",?,?,4449324,82.59
"Doordarshan",?,?,4433729,97.22
"Christian Bale",?,?,4432291,76.64
"A. P. J. Abdul Kalam",?,?,4430018,83.04
"American Horror Story",?,?,4417461,71.04
"The Walking Dead (TV series)",?,?,4416911,60
"Al Pacino",?,?,4404384,76.93
"Taron Egerton",?,?,4399796,80.17
"Ronald Reagan",?,?,4395012,64.76
"DC Extended Universe",?,?,4390952,62.54
"Frozen 2",?,?,4387373,69.43
"Amazon (company)",?,?,4378868,53.6
"Friends",?,?,4361146,69.54
"London",?,?,4358028,56.03
"Richard Nixon",?,?,4354900,67.19
"The Avengers (2012 film)",?,?,4344110,66.28
"Earth",?,?,4335741,42.94
"Dua Lipa",?,?,4330160,75.44
"Boeing 737 MAX",?,?,4329834,57.93
"John Krasinski",?,?,4327172,78.83
"Bharat (film)",?,?,4323261,83.18
"George Washington",?,?,4322792,57.81
"Olivia Colman",?,?,4322736,72.59
"Taiwan",?,?,4320174,55.54
"Lewis Capaldi",?,?,4316946,79.81
"Anne Hathaway",?,?,4316132,79
"Adam Driver",?,?,4315692,74.76
"List of countries by GDP (nominal)",?,?,4306910,54.58
"South Africa",?,?,4303594,61.66
"The Crown (TV series)",?,?,4302645,67.77
"Breaking Bad",?,?,4300209,65.84
"Audrey Hepburn",?,?,4293710,76.83
"Julia Roberts",?,?,4287874,83.2
"Alexander Hamilton",?,?,4285164,67.39
"Netherlands",?,?,4278084,54.67
"RMS Titanic",?,?,4275739,71.44
"Andrew Yang",?,?,4271531,64.86
"Kristen Stewart",?,?,4271484,77.43
"Ed Sheeran",?,?,4266392,69.94
"Edward Snowden",?,?,4263822,64.17
"The Good Place",?,?,4259656,61.12
"Paul Rudd",?,?,4256278,79.83
"13 Reasons Why",?,?,4255601,70.87
"Katy Perry",?,?,4248703,75.55
"Website",?,?,4241200,89.19
"Instagram",?,?,4240186,64.23
"Hellboy (2019 film)",?,?,4238917,60.13
"Samuel L. Jackson",?,?,4238590,79.28
"James McAvoy",?,?,4231537,79.15
"Lori Loughlin",?,?,4229506,73.5
"Courteney Cox",?,?,4225188,84.06
"Jonas Brothers",?,?,4222418,74.12
"Emma Watson",?,?,4221225,74.57
"California",?,?,4219287,60.14
"Elizabeth Olsen",?,?,4218979,79.13
"List of most-followed Instagram accounts",?,?,4205730,85.97
"All Elite Wrestling",?,?,4203654,69.1
"Ilhan Omar",?,?,4203506,65.01
"Cillian Murphy",?,?,4202701,82.17
"2019 Copa América",?,?,4199305,65.82
"Apple Inc.",?,?,4199222,53.57
"Ruth Bader Ginsburg",?,?,4190782,73.5
"Kris Jenner",?,?,4190300,86.07
"Paige (wrestler)",?,?,4190299,83.03
"American Civil War",?,?,4182546,59.41
"John Cena",?,?,4181589,76.38
"Opinion polling for the next United Kingdom general election",?,?,4181238,45.86
"1989 Tiananmen Square protests",?,?,4175452,65.57
"Chelsea F.C.",?,?,4167179,66.53
"Zodiac Killer",?,?,4161050,77.89
"Gully Boy",?,?,4156579,80.05
"Sam Elliott",?,?,4152448,81.72
"Josh Brolin",?,?,4145427,81.09
"List of Riverdale episodes",?,?,4144417,57.62
"Mariah Carey",?,?,4140150,76
"Conor McGregor",?,?,4139282,70.11
"Michael Douglas",?,?,4134526,80.09
"Stan Lee",?,?,4134028,74.39
"List of states and territories of the United States",?,?,4130611,62.24
"Alex Morgan",?,?,4124997,78.61
"2016 United States presidential election",?,?,4124558,52.56
"Generation X",?,?,4121477,67.07
"Jason Statham",?,?,4120281,81.28
"Parasite (2019 film)",?,?,4118668,59.41
"Charlie Sheen",?,?,4108934,78.84
"Ellen DeGeneres",?,?,4108705,82.13
"After (2019 film)",?,?,4105448,74.2
"RSS",?,?,4098946,4.64
