Page,Edits,Editors,Views,Mobile %
"Avengers: Endgame",3738,669,44242407,73.83
"Deaths in 2019",22310,893,38798113,44.85
"Wikipedia",307,187,38654541,6.88
"Ted Bundy",340,136,29421060,85.22
"Freddie Mercury",415,138,27483015,84.41
"Chernobyl disaster",720,227,25572040,77.81
"List of highest-grossing films",2687,192,25030819,75
"Joker (2019 film)",2635,550,23016664,67.61
"List of Marvel Cinematic Universe films",2730,305,21971019,67.22
"Billie Eilish",994,287,20884620,73.17
"Keanu Reeves",250,142,16957212,79.11
"Louis Tomlinson",246,57,16346171,7.01
"Jeffrey Epstein",2628,546,16187407,75.49
"Elizabeth II",443,175,16005542,77.61
"Captain Marvel (film)",2091,392,15788305,68.06
"Game of Thrones (season 8)",1748,444,15704082,63.91
"Game of Thrones",480,171,15466781,63
"Donald Trump",3088,359,15322130,69.92
"List of Bollywood films of 2019",0,0,14937729,76.38
"United States",1107,321,14683349,60.06
"Once Upon a Time in Hollywood",3959,739,13922824,70.88
"Spider-Man: Far From Home",3110,735,13655648,71.44
"YouTube",372,169,13642682,57.13
"The Mandalorian",1443,568,12603829,63.85
"Kayden Boche",?,?,11887216,70.34
"2019 in film",3282,314,11776311,52.12
"Star Wars: The Rise of Skywalker",3070,854,11712521,68.41
"Jason Momoa",542,309,11549683,84.89
"India",1100,181,11480710,68.3
"Nipsey Hussle",723,275,11437942,83.4
"XXXX",3,3,11362684,95.99
"Cristiano Ronaldo",1044,216,11314665,77.9
"TikTok",463,163,11286556,87.86
"Alexandria Ocasio-Cortez",1426,377,11166723,68.27
"Us (2019 film)",1447,631,11149791,64.31
"F5 Networks",0,0,10772556,18.16
"Luke Perry",728,397,10706828,81.5
"Elon Musk",708,242,10644079,70.29
"Joaquin Phoenix",522,236,10614663,76.44
"Dwayne Johnson",1096,149,10540846,81.68
"Elton John",285,134,10534005,78.6
"Lady Gaga",598,165,10522277,78.14
"Murder of Dee Dee Blanchard",474,270,10345847,86.05
"Queen (band)",516,123,10177939,69.6
"Cameron Boyce",944,378,10137581,89.04
"The Lion King (2019 film)",1368,283,10116579,67.16
"Bonnie and Clyde",509,268,10093476,85.6
"Rami Malek",693,177,10051980,77.15
"The Irishman (2019 film)",1,1,10038136,71.9
"Marvel Cinematic Universe",522,139,9972561,62.17
"Scarlett Johansson",311,123,9937013,78.43
"Bradley Cooper",227,113,9893845,80.93
"2019 Indian general election",3490,980,9862508,74.11
"Central Park jogger case",941,254,9788120,81.83
"Kamala Harris",1023,357,9757398,70.12
"Aladdin (2019 film)",2293,816,9655745,63.31
"Boris Johnson",1765,491,9614995,65.02
"Queen Victoria",246,71,9516891,76.26
"Stranger Things",761,333,9506607,70.12
"Michael Jackson",1565,147,9458201,73.01
"2019 Cricket World Cup",1161,267,9420104,77.27
"Brie Larson",493,192,9397399,75.35
"Google",293,146,9362069,47.67
"Charles Manson",188,95,9313944,79.49
"Facebook",538,223,9260049,59.37
"Jennifer Aniston",169,77,9255357,80.63
"Cardi B",548,242,9200671,79.96
"Shazam! (film)",1683,671,9156595,65.06
"United Kingdom",542,201,9121282,54.56
"Tom Brady",958,195,9077554,79.56
"XXX (soundtrack)",267,174,9037694,96.75
"Princess Margaret, Countess of Snowdon",191,102,9001831,84.07
"Jimmy Hoffa",340,173,8903576,81.32
"Clint Eastwood",355,238,8835701,83.1
"Ariana Grande",895,228,8775915,72.59
"World War II",346,141,8701339,61.26
"Chernobyl (miniseries)",1216,462,8636512,64.49
"List of most popular websites",0,0,8615732,8.04
"A Star Is Born (2018 film)",442,149,8612084,76.3
"Lionel Messi",802,174,8584371,74.68
"Barack Obama",373,206,8579341,55.67
"Robert Downey Jr.",179,95,8558966,79.24
"Jeff Bezos",273,154,8470846,69.67
"Area 51",182,99,8372668,77.67
"Null",17,11,8363254,36.7
"HTTP 404",153,109,8337484,43.79
"Glass (2019 film)",1378,575,8315061,65.88
"Emilia Clarke",732,307,8311624,76.5
"Notre-Dame de Paris",1146,522,8251174,65.85
"R. Kelly",355,147,8242098,79.85
"Chris Hemsworth",301,147,8225576,83.31
"Adolf Hitler",425,123,8214136,65
"Mary, Queen of Scots",340,183,8208168,80.46
"Periodic table",91,46,8191385,63.25
"Dark Phoenix (film)",1561,613,8172417,64
"Prince Philip, Duke of Edinburgh",617,256,8142130,79.76
"Greta Thunberg",2773,813,8055185,64.61
"Toy Story 4",2060,621,8033639,69.37
"Peaky Blinders (TV series)",420,220,8012591,71.41
"Wiki",57,40,8001855,28.34
"Naomi Scott",?,?,7992091,78.86
"Richard Jewell",?,?,7978933,79.39
"Roger Federer",?,?,7965999,78.4
"XXXTentacion",?,?,7926223,79.31
"Aquaman (film)",?,?,7919639,72.62
"The Umbrella Academy (TV series)",?,?,7859518,73.35
"BBC World Service",?,?,7801565,96.16
"Fyre Festival",?,?,7787515,74.47
"World War I",?,?,7780679,66.04
"John Wick: Chapter 3 – Parabellum",?,?,7736912,67.88
"Sophie Turner",?,?,7734512,79.92
"Sharon Tate",?,?,7723314,80.21
"Article 370 of the Constitution of India",?,?,7718100,84.67
"Mahatma Gandhi",?,?,7707074,73.74
"Taylor Swift",?,?,7647827,71.82
"The Handmaid's Tale (TV series)",?,?,7645099,69.77
"Neil Armstrong",?,?,7615146,79.19
"Tulsi Gabbard",?,?,7614041,66.83
"Priyanka Chopra",?,?,7516831,82.68
"Pete Buttigieg",?,?,7499229,66.87
"China",?,?,7451592,50.64
"Narendra Modi",?,?,7407148,82.12
"Leonardo DiCaprio",?,?,7340192,79.51
"Zendaya",?,?,7338711,79.42
"Kawhi Leonard",?,?,7338072,78.77
"Charles, Prince of Wales",?,?,7333782,78.72
"Kabir Singh",?,?,7316477,85.27
"Jennifer Lopez",?,?,7315139,82.8
"List of Game of Thrones episodes",?,?,7289551,61.29
"Arnold Schwarzenegger",?,?,7243226,75.47
"BTS (band)",?,?,7234435,64.24
"Avengers: Infinity War",?,?,7222231,67.4
"Millennials",?,?,7208706,67.94
"Tom Holland (actor)",?,?,7204664,79.02
"Lisa Bonet",?,?,7194715,86.22
"LeBron James",?,?,7177723,75.25
"George VI",?,?,7165105,79.82
"Alita: Battle Angel",?,?,7145131,64.72
"Nick Jonas",?,?,7101894,82.5
"Post Malone",?,?,7086999,78.05
"Saaho",?,?,7063654,84.73
"Heath Ledger",?,?,7045002,81.76
"It Chapter Two",?,?,7042603,74.47
"Kim Kardashian",?,?,7029940,82.57
"September 11 attacks",?,?,7008921,67.27
"Kylie Jenner",?,?,7005491,83.57
"The Witcher (TV series)",?,?,6997400,70.5
"Millie Bobby Brown",?,?,6977709,83.96
"Bohemian Rhapsody (film)",?,?,6968041,69.51
"Rafael Nadal",?,?,6950750,77.37
"Judy Garland",?,?,6914918,78.67
"Caitlyn Jenner",?,?,6861087,85.1
