Page,Edits,Editors,Views,Mobile %
"Deaths in 2021",32137,1025,44937556,47.2
"Elon Musk",1730,317,25353057,75.65
"Elizabeth II",874,248,24763417,78.72
"Squid Game",1938,465,22938916,73.99
"YouTube",449,184,22084275,24.18
"Spider-Man: No Way Home",3954,566,19928059,72.64
"Cristiano Ronaldo",1406,307,19486268,79.08
"Prince Philip, Duke of Edinburgh",1090,349,18432710,77.03
"UEFA Euro 2020",1265,377,17655900,62.52
"Joe Biden",1957,421,17371970,66.88
"United States",1417,396,16838160,52.51
"Donald Trump",3775,537,16742725,65.12
"WandaVision",2135,390,16563552,68.74
"Wikipedia",577,226,15115748,65.6
"2020 Summer Olympics",2166,493,14756966,56.71
"Skathi (moon)",49,18,14542602,57.98
"Google logo",103,74,14364523,79.89
"Dune (2021 film)",2053,618,13666382,67.02
"Shang-Chi and the Legend of the Ten Rings",2058,490,13475899,68.7
"Lionel Messi",1257,298,13272917,76.54
"Eternals (film)",1896,391,13213690,69.68
"List of Marvel Cinematic Universe films",560,111,13082868,66.14
"No Time to Die",2326,763,12888806,70.53
"Google",264,143,12689093,32.08
"India",696,125,12561579,61.04
"Tom Brady",1111,296,12538472,78.04
"Godzilla vs. Kong",1894,427,12063989,73.73
"Charles, Prince of Wales",0,0,11754551,79.79
"Taliban",769,310,11422321,74.26
"Critical race theory",1777,300,11203521,73.07
"Zack Snyder's Justice League",2335,654,11186167,70.3
"Black Widow (2021 film)",1876,274,11138294,69.72
"Kamala Harris",636,251,11091273,72.1
"Afghanistan",1055,336,11088077,66.06
"COVID-19 pandemic",1448,431,10856142,45.87
"The Suicide Squad (film)",1706,429,10809922,68.61
"Bridgerton",695,300,10754301,76.88
"Marvel Cinematic Universe: Phase Four",1962,265,10606712,63.94
"QAnon",797,279,10575080,73.11
"Richard Ramirez",211,83,10536072,85.42
"XXX (2002 film)",91,73,10534979,97.15
"BF",255,151,10468586,99.74
"Diana, Princess of Wales",286,108,10458906,80.17
"Dwayne Johnson",291,150,10091070,77.78
"List of James Bond films",418,184,10015298,68.97
"United Kingdom",643,223,9907938,53.98
"Zendaya",388,143,9865341,76.05
"Loki (TV series)",2014,443,9841518,63.88
"DMX (rapper)",3,1,9662331,83.08
"Jeff Bezos",541,222,9642081,69.82
"Olivia Rodrigo",1284,284,9599161,72.71
"Keanu Reeves",114,69,9448571,79.28
"Scarlett Johansson",338,94,9361001,77.75
"Betty White",435,175,9318104,84.04
"Freddie Mercury",226,90,9240593,79.05
"Princess Margaret, Countess of Snowdon",236,118,9175312,83.81
"Sex",1474,45,9159085,92.54
"BBC World Service",61,39,9139511,90.7
"George VI",371,185,9138142,79.97
"Charles Sobhraj",350,199,9066131,83.4
"XXX (film series)",146,102,9050176,97.2
"Ted Lasso",842,292,9014605,69.72
"The Falcon and the Winter Soldier",1606,378,8893545,66.22
"Facebook",292,174,8863633,34.53
"September 11 attacks",452,196,8860322,69.44
"Britney Spears",597,158,8803948,75.86
"F9 (film)",1109,411,8772054,74.5
"Ariana Grande",557,128,8730413,75.67
"Billie Eilish",455,204,8723549,71.84
"Michael Jackson",433,103,8659257,72.56
"Amazon (company)",304,168,8604579,26.37
"Adolf Hitler",334,108,8525381,63.86
"2021 Formula One World Championship",1860,315,8492509,50.69
"World War II",375,138,8466190,60.68
"Queen Victoria",276,86,8440407,73.8
"Marvel Cinematic Universe",640,125,8432831,61.21
"BTS",838,137,8416247,71.47
"Index.html",3,2,8369639,0.01
"Tasuku Honjo",38,30,8351879,99.55
"List of Tor onion services",55,33,8254957,96.82
"Instagram",253,115,8246818,37.35
"Mortal Kombat (2021 film)",1182,388,8213327,71.17
"Ryan Reynolds",189,90,8101562,77.31
"Netflix",907,440,8097459,30.89
"Mare of Easttown",618,239,8086090,76.33
"Taylor Swift",1497,233,8081583,68.14
"Venom: Let There Be Carnage",1179,231,8059624,70.42
"Dua Lipa",687,197,8030059,74.43
"Kim Kardashian",244,113,7990329,82.25
"WhatsApp",510,281,7959750,35.77
"Manchester United F.C.",524,178,7949836,64.02
"Clint Eastwood",136,58,7934274,76.29
"Emma Raducanu",1622,506,7815440,74.32
"The Pirate Bay",86,57,7814336,13.74
"Anya Taylor-Joy",611,263,7813895,73.5
"Google Translate",338,127,7806558,13.82
"2020 United States presidential election",1009,356,7801410,48.79
"Jennifer Aniston",106,63,7797323,79.35
"Elizabeth Olsen",558,235,7767495,77.1
"LeBron James",483,181,7763367,74.31
"Kanye West",?,?,7753122,70.97
"Barack Obama",?,?,7739962,63.16
"Money Heist",?,?,7727387,72.99
"Tom Holland",?,?,7710523,76.36
"XXX",?,?,7695760,97.1
"XXX: Return of Xander Cage",?,?,7674433,96.39
"Timothée Chalamet",?,?,7646172,75.57
"Leonardo DiCaprio",?,?,7630275,77.89
"XXXTentacion",?,?,7566337,84.57
"Muhammad Ali",?,?,7548316,76.36
"Michael Jordan",?,?,7508084,74.07
"Adele",?,?,7490440,74.07
"Meghan, Duchess of Sussex",?,?,7484623,78.04
"Angelina Jolie",?,?,7453562,80.91
"Cat",?,?,7453432,24.22
"What If...? (TV series)",?,?,7417052,60.54
"Lewis Hamilton",?,?,7253432,72.87
"Google Classroom",?,?,7250584,27.74
"The Weeknd",?,?,7240926,74.89
"Edward VIII",?,?,7233467,78.7
"Israel",?,?,7180624,66.19
"Mark Zuckerberg",?,?,7172073,43.91
"China",?,?,7168973,55.15
"Kenosha unrest shooting",?,?,7131306,72.44
"Internet",?,?,7098167,17.47
"Novak Djokovic",?,?,7027215,72.82
"Conor McGregor",?,?,6970850,74.57
"Peaky Blinders (TV series)",?,?,6946976,72.65
"Bitcoin",?,?,6944970,51.22
"New York City",?,?,6928480,47.52
"Aaron Rodgers",?,?,6862996,78.37
